iter	Logloss
0	0.6860242465
1	0.6796587181
2	0.672990514
3	0.66677451
4	0.6604786337
5	0.6542336452
6	0.6481955423
7	0.6423940959
8	0.637071161
9	0.6316997744
10	0.6266481345
11	0.6215569119
12	0.6165715177
13	0.6116277499
14	0.6066005378
15	0.6020505659
16	0.5973245786
17	0.5927980393
18	0.5884546921
19	0.5842040278
20	0.5799402364
21	0.5759552534
22	0.5720049112
23	0.5681977839
24	0.5641567193
25	0.5603733719
26	0.5565406159
27	0.5530090219
28	0.5494509074
29	0.546002234
30	0.5425058597
31	0.5389097153
32	0.5355688352
33	0.5322642552
34	0.5291006979
35	0.5260219043
36	0.5228091095
37	0.5198457291
38	0.5169880383
39	0.5140679644
40	0.5111221955
41	0.508163866
42	0.5055453841
43	0.5028151966
44	0.5002979017
45	0.4974668638
46	0.4948281094
47	0.4922451178
48	0.4896327892
49	0.4871479742
50	0.484589254
51	0.4821725733
52	0.4797255459
53	0.4773066969
54	0.4749760797
55	0.4726621453
56	0.4703498228
57	0.4681805597
58	0.4660307821
59	0.4638804933
60	0.4616416229
61	0.4595546277
62	0.4574917273
63	0.455467406
64	0.453417116
65	0.4513377678
66	0.4494664055
67	0.4474721747
68	0.4454937343
69	0.4436177902
70	0.4416660616
71	0.439729071
72	0.4377810782
73	0.4359732931
74	0.4341503943
75	0.4323221814
76	0.4305337974
77	0.428775306
78	0.4270661362
79	0.4253527364
80	0.4236531
81	0.4220001566
82	0.4203981555
83	0.4187011089
84	0.417126333
85	0.4155416682
86	0.4139190644
87	0.4123693853
88	0.4107458534
89	0.4092143727
90	0.40773999
91	0.406242065
92	0.4047445887
93	0.4033054364
94	0.4017818949
95	0.4002935347
96	0.3988161169
97	0.3974084661
98	0.3960156305
99	0.3945783052
100	0.3934011137
101	0.3920044886
102	0.3906362621
103	0.3892968036
104	0.3879665158
105	0.3866364164
106	0.3853812537
107	0.3840853534
108	0.3828502778
109	0.3816065789
110	0.3803458566
111	0.3791286316
112	0.3778693404
113	0.3765941261
114	0.3753456037
115	0.3741382029
116	0.3729045779
117	0.3717321304
118	0.3704876873
119	0.3693224955
120	0.3681083933
121	0.3669652837
122	0.3658975123
123	0.3647617315
124	0.3636253896
125	0.3624774235
126	0.3614230149
127	0.3603828016
128	0.3592854862
129	0.358200273
130	0.3571116021
131	0.3560054895
132	0.3549476106
133	0.3539071507
134	0.3528522618
135	0.3518133268
136	0.3508203892
137	0.3498026166
138	0.3487920761
139	0.3477592017
140	0.3467443195
141	0.3457543458
142	0.3447463918
143	0.3437415784
144	0.3428150774
145	0.3418604499
146	0.3409330437
147	0.3400001435
148	0.3390103179
149	0.3380606688
150	0.3372128786
151	0.3363134114
152	0.3354029362
153	0.3345042893
154	0.333637169
155	0.3327529717
156	0.331941315
157	0.3311303804
158	0.3302158646
159	0.3293571974
160	0.3284746979
161	0.327636743
162	0.3267801303
163	0.325939307
164	0.325131921
165	0.3242881056
166	0.3234528252
167	0.3226211127
168	0.3217947054
169	0.3210278355
170	0.3202204187
171	0.3194574388
172	0.3186817013
173	0.3179480151
174	0.317169484
175	0.3164057752
176	0.3156258556
177	0.3148850819
178	0.3141159137
179	0.3133598113
180	0.3125977295
181	0.3118793537
182	0.3111555948
183	0.3103973452
184	0.3097001317
185	0.3089259152
186	0.3082085527
187	0.3074549466
188	0.3067890434
189	0.3061314085
190	0.3054288491
191	0.3047590813
192	0.3040315827
193	0.3033506991
194	0.3026771957
195	0.301961334
196	0.3012747404
197	0.3005873437
198	0.2999348169
199	0.2992503201
200	0.2986088399
201	0.2978947899
202	0.2972440365
