iter	Passed	Remaining
0	65	65387
1	70	35324
2	75	25149
3	79	19916
4	84	16824
5	89	14755
6	94	13354
7	99	12280
8	103	11387
9	108	10693
10	112	10149
11	117	9678
12	122	9306
13	127	8967
14	132	8692
15	136	8394
16	141	8155
17	144	7896
18	148	7672
19	152	7492
20	156	7301
21	161	7164
22	165	7031
23	169	6903
24	174	6806
25	178	6697
26	182	6577
27	186	6469
28	191	6395
29	195	6308
30	198	6217
31	202	6136
32	206	6064
33	210	5991
34	214	5917
35	218	5854
36	223	5825
37	227	5769
38	231	5705
39	235	5648
40	239	5595
41	243	5553
42	247	5502
43	251	5456
44	254	5411
45	259	5375
46	262	5332
47	267	5302
48	271	5267
49	275	5237
50	279	5194
51	283	5167
52	287	5139
53	291	5104
54	295	5081
55	299	5051
56	303	5022
57	307	4995
58	311	4969
59	315	4945
60	319	4916
61	323	4892
62	327	4868
63	331	4853
64	335	4827
65	339	4809
66	344	4799
67	348	4781
68	353	4769
69	357	4748
70	361	4727
71	364	4703
72	369	4687
73	372	4666
74	376	4646
75	380	4629
76	384	4609
77	388	4597
78	393	4585
79	397	4566
80	400	4548
81	404	4531
82	408	4513
83	412	4494
84	416	4482
85	420	4471
86	425	4463
87	429	4450
88	433	4434
89	437	4427
90	441	4413
91	445	4401
92	449	4385
93	453	4374
94	457	4358
95	461	4345
96	465	4330
97	469	4320
98	473	4310
99	477	4297
100	481	4286
101	486	4281
102	490	4269
103	494	4259
104	498	4247
105	502	4237
106	506	4227
107	510	4216
108	514	4205
109	518	4194
110	523	4189
111	526	4178
112	530	4167
113	534	4157
114	538	4146
115	542	4137
116	546	4125
117	550	4115
118	554	4104
119	558	4092
120	562	4086
121	566	4076
122	570	4067
123	574	4056
124	577	4045
125	581	4034
126	585	4026
127	590	4022
128	594	4016
129	598	4006
130	603	4000
131	607	3996
132	611	3987
133	615	3978
134	619	3969
135	623	3959
136	626	3947
137	631	3943
138	635	3935
139	639	3927
140	643	3919
141	647	3910
142	651	3901
143	655	3894
144	659	3886
145	663	3879
146	667	3872
147	671	3864
148	675	3856
149	679	3850
150	683	3841
151	687	3834
152	691	3826
153	695	3818
154	699	3813
155	703	3805
156	707	3796
157	711	3789
158	714	3780
159	718	3772
160	722	3765
161	726	3760
162	730	3752
163	734	3744
164	738	3736
165	742	3727
166	745	3720
167	750	3718
168	754	3710
169	758	3704
170	762	3697
171	766	3691
172	770	3683
173	775	3680
174	780	3679
175	784	3671
176	787	3663
177	791	3655
178	795	3647
179	799	3640
180	802	3632
181	806	3625
182	810	3618
183	814	3611
184	818	3606
185	822	3600
186	826	3592
187	830	3586
188	833	3578
189	837	3571
190	841	3564
191	845	3557
192	849	3550
193	852	3543
194	856	3537
195	860	3530
196	864	3525
197	868	3519
198	872	3511
199	876	3505
200	880	3499
201	884	3493
202	887	3485
203	892	3481
204	896	3474
205	899	3468
206	903	3461
207	907	3454
208	911	3447
209	914	3441
210	918	3434
211	922	3427
212	925	3419
213	929	3413
214	932	3406
215	936	3399
216	939	3391
217	944	3386
218	947	3378
219	950	3371
220	954	3364
221	958	3359
222	962	3354
223	967	3350
224	972	3348
225	975	3342
226	979	3337
227	984	3333
228	988	3327
229	992	3321
230	996	3315
231	1000	3310
232	1003	3304
233	1007	3298
234	1011	3292
235	1015	3286
236	1019	3280
237	1023	3275
238	1027	3270
239	1030	3264
240	1034	3258
241	1038	3252
242	1042	3246
243	1045	3240
244	1050	3237
245	1054	3232
246	1058	3227
247	1062	3222
248	1066	3216
249	1070	3210
250	1073	3204
251	1078	3200
252	1082	3195
253	1086	3191
254	1091	3187
255	1095	3183
256	1099	3179
257	1104	3177
258	1109	3173
259	1114	3171
260	1118	3166
261	1122	3162
262	1126	3157
263	1131	3153
264	1134	3146
265	1138	3140
266	1141	3134
267	1146	3130
268	1149	3123
269	1153	3119
270	1158	3116
271	1162	3112
272	1178	3137
273	1188	3149
274	1198	3158
275	1202	3154
276	1206	3149
277	1210	3143
278	1214	3138
279	1218	3132
280	1222	3128
281	1226	3123
282	1230	3118
283	1234	3112
284	1238	3107
285	1242	3102
286	1246	3096
287	1250	3091
288	1255	3088
289	1259	3084
290	1263	3077
291	1267	3073
292	1271	3067
293	1275	3062
294	1278	3056
295	1282	3050
296	1286	3045
297	1290	3039
298	1294	3034
299	1298	3029
300	1302	3025
301	1306	3019
302	1311	3016
303	1314	3010
304	1318	3005
305	1322	3000
306	1326	2994
307	1330	2989
308	1334	2984
309	1338	2979
310	1342	2974
311	1346	2969
312	1350	2964
313	1354	2959
314	1358	2953
315	1362	2948
316	1366	2944
317	1370	2938
318	1373	2932
319	1377	2927
320	1381	2922
321	1385	2918
322	1389	2912
323	1393	2907
324	1397	2902
325	1401	2896
326	1405	2892
327	1409	2887
328	1412	2881
329	1416	2876
330	1420	2871
331	1424	2866
332	1429	2863
333	1433	2858
334	1437	2853
335	1441	2848
336	1445	2842
337	1449	2838
338	1452	2832
339	1456	2828
340	1460	2822
341	1464	2817
342	1468	2812
343	1472	2807
344	1476	2802
345	1480	2797
346	1484	2792
347	1488	2788
348	1492	2783
349	1496	2779
350	1500	2775
351	1505	2771
352	1509	2766
353	1513	2761
354	1517	2757
355	1521	2751
356	1524	2746
357	1528	2741
358	1532	2736
359	1536	2730
360	1539	2725
361	1543	2720
362	1547	2715
363	1551	2710
364	1554	2705
365	1558	2700
366	1562	2694
367	1566	2690
368	1570	2686
369	1574	2681
370	1578	2676
371	1582	2672
372	1586	2666
373	1589	2661
374	1593	2656
375	1598	2652
376	1602	2647
377	1605	2642
378	1609	2637
379	1613	2632
380	1617	2627
381	1621	2622
382	1625	2618
383	1629	2613
384	1632	2608
385	1636	2603
386	1640	2598
387	1643	2592
388	1647	2588
389	1651	2583
390	1655	2578
391	1659	2573
392	1663	2568
393	1667	2564
394	1670	2559
395	1674	2554
396	1678	2549
397	1682	2545
